2025-06-26 08:44:45,740 - INFO - ====== WebDriver manager ======
2025-06-26 08:44:47,011 - INFO - Get LATEST chromedriver version for google-chrome
2025-06-26 08:45:27,831 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,831 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,831 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,831 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,831 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,831 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,831 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,831 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,831 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,831 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,831 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,831 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,832 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,832 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,832 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,832 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,832 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,832 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
2025-06-26 08:45:27,832 - ERROR - Erro ao formatar a duração em minutos: not enough values to unpack (expected 3, got 1)
